ID,Nome,Preço,Quantidade em Estoque
1,Produto 1,827.05,71
2,Produto 2,721.0,92
3,Produto 3,517.97,45
4,Produto 4,774.93,73
5,Produto 5,854.83,46
6,Produto 6,810.47,92
7,Produto 7,644.73,3
8,Produto 8,833.14,60
9,Produto 9,17.76,80
10,Produto 10,945.67,23
11,Produto 11,147.1,83
12,Produto 12,684.68,71
13,Produto 13,523.38,36
14,Produto 14,180.7,68
15,Produto 15,847.52,1
16,Produto 16,609.82,65
17,Produto 17,366.12,80
18,Produto 18,126.0,41
19,Produto 19,277.1,87
20,Produto 20,410.36,37
21,Produto 21,968.51,51
22,Produto 22,198.74,96
23,Produto 23,397.05,75
24,Produto 24,147.63,81
25,Produto 25,12.54,58
26,Produto 26,549.58,60
27,Produto 27,744.4,66
28,Produto 28,898.8,7
29,Produto 29,577.98,12
30,Produto 30,68.4,71
31,Produto 31,703.83,11
32,Produto 32,62.77,55
33,Produto 33,431.6,37
34,Produto 34,772.27,79
35,Produto 35,693.12,28
36,Produto 36,684.24,12
37,Produto 37,472.84,73
38,Produto 38,851.32,66
39,Produto 39,772.31,5
40,Produto 40,807.62,69
41,Produto 41,739.53,36
42,Produto 42,985.52,18
43,Produto 43,681.83,42
44,Produto 44,977.61,76
45,Produto 45,895.67,73
46,Produto 46,969.9,5
47,Produto 47,686.37,3
48,Produto 48,850.78,87
49,Produto 49,269.94,69
50,Produto 50,338.53,8
51,Produto 51,152.31,41
52,Produto 52,525.98,87
53,Produto 53,2.41,12
54,Produto 54,563.24,76
55,Produto 55,749.16,42
56,Produto 56,74.09,5
57,Produto 57,558.19,23
58,Produto 58,863.79,70
59,Produto 59,559.71,87
60,Produto 60,223.26,18
61,Produto 61,37.19,22
62,Produto 62,942.55,97
63,Produto 63,792.1,89
64,Produto 64,50.59,28
65,Produto 65,760.89,81
66,Produto 66,44.8,22
67,Produto 67,700.34,89
68,Produto 68,422.52,21
69,Produto 69,501.23,80
70,Produto 70,393.96,17
71,Produto 71,136.98,23
72,Produto 72,805.62,70
73,Produto 73,928.14,27
74,Produto 74,738.82,18
75,Produto 75,252.2,17
76,Produto 76,53.67,72
77,Produto 77,645.04,64
78,Produto 78,912.66,77
79,Produto 79,179.76,98
80,Produto 80,391.45,29
81,Produto 81,892.4,25
82,Produto 82,551.08,85
83,Produto 83,120.37,83
84,Produto 84,637.0,2
85,Produto 85,36.61,90
86,Produto 86,373.97,17
87,Produto 87,704.07,71
88,Produto 88,773.92,38
89,Produto 89,88.07,20
90,Produto 90,682.04,10
91,Produto 91,783.51,30
92,Produto 92,86.05,18
93,Produto 93,705.13,79
94,Produto 94,212.75,19
95,Produto 95,77.84,96
96,Produto 96,379.85,37
97,Produto 97,201.36,86
98,Produto 98,253.12,48
99,Produto 99,590.18,92
100,Produto 100,287.33,81
101,Produto 101,526.69,97
102,Produto 102,176.28,85
103,Produto 103,663.17,89
104,Produto 104,532.56,65
105,Produto 105,638.48,41
106,Produto 106,349.58,42
107,Produto 107,647.22,90
108,Produto 108,934.51,42
109,Produto 109,275.27,62
110,Produto 110,290.44,93
111,Produto 111,632.74,2
112,Produto 112,822.8,55
113,Produto 113,485.73,100
114,Produto 114,880.93,5
115,Produto 115,656.43,29
116,Produto 116,449.25,96
117,Produto 117,852.35,84
118,Produto 118,758.34,76
119,Produto 119,345.09,29
120,Produto 120,157.01,27
121,Produto 121,213.89,48
122,Produto 122,30.56,60
123,Produto 123,702.7,31
124,Produto 124,718.25,32
125,Produto 125,581.24,94
126,Produto 126,658.13,34
127,Produto 127,738.33,60
128,Produto 128,325.93,23
129,Produto 129,519.86,24
130,Produto 130,54.01,53
131,Produto 131,183.79,58
132,Produto 132,942.19,97
133,Produto 133,99.97,100
134,Produto 134,581.28,74
135,Produto 135,317.58,30
136,Produto 136,869.48,37
137,Produto 137,449.25,26
138,Produto 138,885.79,22
139,Produto 139,111.22,55
140,Produto 140,292.47,63
141,Produto 141,760.7,98
142,Produto 142,182.15,59
143,Produto 143,411.4,29
144,Produto 144,940.17,79
145,Produto 145,445.07,29
146,Produto 146,24.9,32
147,Produto 147,867.17,31
148,Produto 148,859.55,51
149,Produto 149,391.39,84
150,Produto 150,978.1,37
151,Produto 151,264.87,2
152,Produto 152,82.28,25
153,Produto 153,64.18,39
154,Produto 154,515.6,11
155,Produto 155,735.74,4
156,Produto 156,877.4,33
157,Produto 157,29.74,85
158,Produto 158,693.25,19
159,Produto 159,418.17,37
160,Produto 160,869.01,84
161,Produto 161,157.35,11
162,Produto 162,515.56,19
163,Produto 163,654.56,7
164,Produto 164,874.32,6
165,Produto 165,68.65,100
166,Produto 166,711.28,99
167,Produto 167,835.33,82
168,Produto 168,723.8,95
169,Produto 169,199.52,49
170,Produto 170,772.76,46
171,Produto 171,596.15,37
172,Produto 172,739.07,16
173,Produto 173,577.24,53
174,Produto 174,61.97,60
175,Produto 175,554.52,52
176,Produto 176,811.54,5
177,Produto 177,426.41,30
178,Produto 178,293.64,86
179,Produto 179,624.46,62
180,Produto 180,586.46,66
181,Produto 181,700.66,24
182,Produto 182,758.37,44
183,Produto 183,771.02,28
184,Produto 184,556.68,57
185,Produto 185,782.65,33
186,Produto 186,662.33,4
187,Produto 187,383.89,82
188,Produto 188,145.04,88
189,Produto 189,203.04,68
190,Produto 190,62.91,93
191,Produto 191,98.2,12
192,Produto 192,702.12,7
193,Produto 193,334.08,17
194,Produto 194,356.43,94
195,Produto 195,668.98,98
196,Produto 196,378.4,89
197,Produto 197,257.37,61
198,Produto 198,662.23,72
199,Produto 199,774.59,34
200,Produto 200,453.66,79
201,Produto 201,735.33,14
202,Produto 202,38.53,14
203,Produto 203,713.09,29
204,Produto 204,666.43,15
205,Produto 205,449.72,10
206,Produto 206,819.62,78
207,Produto 207,288.44,12
208,Produto 208,262.29,92
209,Produto 209,788.68,17
210,Produto 210,363.05,81
211,Produto 211,278.73,57
212,Produto 212,587.26,16
213,Produto 213,412.68,49
214,Produto 214,488.89,75
215,Produto 215,555.76,51
216,Produto 216,517.18,21
217,Produto 217,386.92,17
218,Produto 218,204.98,44
219,Produto 219,888.68,11
220,Produto 220,823.15,27
221,Produto 221,429.25,78
222,Produto 222,151.31,83
223,Produto 223,234.02,5
224,Produto 224,72.08,55
225,Produto 225,879.39,90
226,Produto 226,898.48,95
227,Produto 227,69.52,14
228,Produto 228,521.44,17
229,Produto 229,716.92,7
230,Produto 230,143.31,23
231,Produto 231,330.96,85
232,Produto 232,722.59,58
233,Produto 233,6.29,25
234,Produto 234,465.57,29
235,Produto 235,181.66,60
236,Produto 236,269.68,16
237,Produto 237,952.62,1
238,Produto 238,757.0,91
239,Produto 239,614.42,63
240,Produto 240,465.25,100
241,Produto 241,31.63,67
242,Produto 242,351.9,95
243,Produto 243,853.23,39
244,Produto 244,681.12,60
245,Produto 245,429.6,50
246,Produto 246,837.42,13
247,Produto 247,824.02,3
248,Produto 248,276.47,68
249,Produto 249,327.41,97
250,Produto 250,279.32,100
251,Produto 251,538.25,3
252,Produto 252,219.98,47
253,Produto 253,150.21,5
254,Produto 254,286.79,45
255,Produto 255,872.35,9
256,Produto 256,441.3,51
257,Produto 257,695.57,57
258,Produto 258,633.76,84
259,Produto 259,741.88,65
260,Produto 260,140.03,99
261,Produto 261,352.73,31
262,Produto 262,529.11,55
263,Produto 263,582.97,67
264,Produto 264,369.13,37
265,Produto 265,184.2,91
266,Produto 266,371.5,93
267,Produto 267,542.6,52
268,Produto 268,571.15,67
269,Produto 269,364.44,20
270,Produto 270,639.93,18
271,Produto 271,737.26,5
272,Produto 272,640.57,73
273,Produto 273,415.82,97
274,Produto 274,603.21,63
275,Produto 275,11.51,39
276,Produto 276,983.41,90
277,Produto 277,241.3,77
278,Produto 278,601.33,76
279,Produto 279,384.48,65
280,Produto 280,413.81,90
281,Produto 281,330.94,99
282,Produto 282,18.02,63
283,Produto 283,158.24,78
284,Produto 284,212.06,36
285,Produto 285,961.05,38
286,Produto 286,876.4,91
287,Produto 287,246.49,99
288,Produto 288,342.94,18
289,Produto 289,645.53,36
290,Produto 290,83.31,10
291,Produto 291,304.89,25
292,Produto 292,194.61,1
293,Produto 293,64.56,15
294,Produto 294,962.62,42
295,Produto 295,861.71,13
296,Produto 296,674.44,19
297,Produto 297,477.06,35
298,Produto 298,583.1,98
299,Produto 299,520.16,11
300,Produto 300,100.12,62
301,Produto 301,698.25,20
302,Produto 302,448.23,19
303,Produto 303,693.91,5
304,Produto 304,288.62,9
305,Produto 305,327.17,94
306,Produto 306,401.48,48
307,Produto 307,276.09,33
308,Produto 308,551.81,74
309,Produto 309,291.1,87
310,Produto 310,55.42,10
311,Produto 311,438.04,10
312,Produto 312,605.02,80
313,Produto 313,987.47,23
314,Produto 314,537.32,15
315,Produto 315,602.19,36
316,Produto 316,617.7,97
317,Produto 317,703.79,83
318,Produto 318,813.76,25
319,Produto 319,110.77,84
320,Produto 320,951.88,30
321,Produto 321,354.0,2
322,Produto 322,254.94,59
323,Produto 323,397.25,21
